1	India	1,428,627,663	0.81 %	11,454,490	481	2,973,190	-486,136	2.0	28	36 %	17.76 %
2	China	1,425,671,352	-0.02 %	-215,985	152	9,388,211	-310,220	1.2	39	65 %	17.72 %
3	USA	339,996,563	-0.02 %	-215,985	152	9,388,211	-310,220	1.2	39	65 %	17.72 %
4	Indonesia	277,534,122	0.74 %	2,032,783	153	1,811,570	-49,997	2.1	30	59 %	3.45 %
5	Pakistan	240,485,658	1.98 %	4,660,796	312	770,880	-165,988	3.3	21	35 %	2.99 %
6	Nigeria	223,804,632	2.41 %	5,263,420	246	910,770	-59,996	5.1	17	54 %	2.78 %
7	Brazil	216,422,446	0.52 %	1,108,948	26	8,358,140	6,000	1.6	34	88 %	2.69 %
8	Bangladesh	172,954,319	1.03 %	1,767,947	1,329	130,170	-309,977	1.9	27	41 %	2.15 %
9	Russia	144,444,359	-0.19 %	-268,955	9	16,376,870	-136,414	1.5	39	75 %	1.80 %
10	Mexico	128,455,567	0.75 %	951,442	66	1,943,950	-50,239	1.8	30	88 %	1.60 %
11	Ethiopia	126,527,060	2.55 %	3,147,136	127	1,000,000	-11,999	4.0	19	22 %	1.57 %
12	Japan	123,294,513	-0.53 %	-657,179	338	364,555	99,994	1.3	49	94 %	1.53 %
13	Philippines	117,337,368	1.54 %	1,778,359	394	298,170	-69,996	2.7	25	47 %	1.46 %
14	Egypt	112,716,598	1.56 %	1,726,495	113	995,450	-29,998	2.8	24	41 %	1.40 %
15	DR Congo	102,262,808	3.29 %	3,252,596	45	2,267,050	-14,999	6.1	16	46 %	1.27 %
16	Vietnam	98,858,950	0.68 %	672,094	319	310,070	-82,700	1.9	33	40 %	1.23 %
17	Iran	89,172,767	0.70 %	622,197	55	1,628,550	-39,998	1.7	33	74 %	1.11 %
18	Turkey	85,816,199	0.56 %	474,958	112	769,630	-318,067	1.9	32	77 %	1.07 %
19	Germany	83,294,633	-0.09 %	-75,210	239	348,560	155,751	1.5	45	77 %	1.04 %
20	Thailand	71,801,279	0.15 %	104,249	141	510,890	18,999	1.3	40	52 %	0.89 %
21	United Kingdom	67,736,802	0.34 %	227,866	280	241,930	165,790	1.6	40	85 %	0.84 %
22	Tanzania	67,438,106	2.96 %	1,940,358	76	885,800	-39,997	4.6	17	38 %	0.84 %
23	France	64,756,584	0.20 %	129,956	118	547,557	67,761	1.8	42	84 %	0.80 %
24	South Africa	60,414,495	0.87 %	520,610	50	1,213,090	58,496	2.3	28	69 %	0.75 %
25	Italy	58,870,762	-0.28 %	-166,712	200	294,140	58,496	1.3	48	72 %	0.73 %
26	Kenya	55,100,586	1.99 %	1,073,099	97	569,140	-10,000	3.2	20	31 %	0.68 %
27	Myanmar	54,577,997	0.74 %	398,691	84	653,290	-34,998	2.1	30	33 %	0.68 %
28	Colombia	52,085,168	0.41 %	211,144	47	1,109,500	-175,051	1.7	32	81 %	0.65 %
29	South Korea	51,784,059	-0.06 %	-31,751	533	97,230	29,998	0.9	44	82 %	0.64 %
30	Uganda	48,582,334	2.82 %	1,332,749	243	199,810	-126,181	4.4	16	29 %	0.60 %
31	Sudan	48,109,006	2.63 %	1,234,802	27	1,765,048	-9,999	4.3	19	35 %	0.60 %
32	Spain	47,519,628	-0.08 %	-39,002	95	498,800	39,998	1.3	45	80 %	0.59 %
33	Argentina	45,773,884	0.58 %	263,566	17	2,736,690	3,718	1.9	32	94 %	0.57 %
34	Algeria	45,606,480	1.57 %	703,255	19	2,381,740	-9,999	2.8	28	75 %	0.57 %
35	Iraq	45,504,560	2.27 %	1,008,438	105	434,320	-6,000	3.4	20	71 %	0.57 %
36	Afghanistan	42,239,854	2.70 %	1,111,083	65	652,860	-65,846	4.4	17	26 %	0.53 %
37	Poland	41,026,067	2.93 %	1,168,922	134	306,230	-910,475	1.5	40	55 %	0.51 %
38	Canada	38,781,291	0.85 %	326,964	4	9,093,510	249,746	1.5	41	81 %	0.48 %
39	Morocco	37,840,044	1.02 %	382,073	85	446,300	-39,998	2.3	29	66 %	0.47 %
40	Saudi Arabia	36,947,025	1.48 %	538,205	17	2,149,690	28,998	2.4	31	83 %	0.46 %
41	Ukraine	36,744,634	-7.45 %	-2,957,105	63	579,320	1,784,718	1.3	45	82 %	0.46 %
42	Angola	36,684,202	3.08 %	1,095,215	29	1,246,700	-1,000	5.1	16	68 %	0.46 %
43	Uzbekistan	35,163,944	1.55 %	536,292	83	425,400	-19,999	2.8	27	49 %	0.44 %
44	Yemen	34,449,825	2.24 %	753,211	65	527,970	-29,914	3.6	19	37 %	0.43 %
45	Peru	34,352,719	0.89 %	303,131	27	1,280,000	-61,442	2.1	29	79 %	0.43 %
46	Malaysia	34,308,525	1.09 %	370,304	104	328,550	48,997	1.8	31	78 %	0.43 %
47	Ghana	34,121,985	1.93 %	646,115	150	227,540	-9,999	3.5	21	57 %	0.42 %
48	Mozambique	33,897,354	2.81 %	927,836	43	786,380	-5,000	4.5	17	40 %	0.42 %
49	Nepal	30,896,590	1.14 %	349,010	216	143,350	-62,012	2.0	24	22 %	0.38 %
50	Madagascar	30,325,732	2.41 %	714,018	52	581,795	-1,500	3.7	19	40 %	0.38 %
51	Cote dIvoire	28,873,034	2.53 %	712,492	91	318,000	6,000	4.3	18	52 %	0.36 %
52	Venezuela	28,838,499	1.90 %	536,803	33	882,050	321,106	2.2	28	N.A.	0.36 %
53	Cameroon	28,647,293	2.63 %	732,757	61	472,710	-4,800	4.3	18	58 %	0.36 %
54	Niger	27,202,843	3.80 %	994,866	21	1,266,700	1,000	6.7	15	17 %	0.34 %
55	Australia	26,439,111	1.00 %	261,698	3	7,682,300	139,991	1.6	38	86 %	0.33 %
56	North Korea	26,160,821	0.35 %	91,405	217	120,410	-2,000	1.8	36	63 %	0.33 %
